mint_address,meta_address,meta_name,meta_uri,inmate_number,image_uri
238TiUaK4b7wz25gHsLggtz2zSafERYybA5xoxNr4SHv,B8ZAH7ncfxWyZmWacou1EMcsw826dj58yJVZTVA5M8HM,"ExiledApe 420/518",https://arweave.net/uwQSWgqC7NbuLne5tbBVYAv6IXWsFeK9Kk4aTVXk1rQ,1231,https://www.arweave.net/R4-wgWqoCYXFP56VIN1K6rastnjGBfA00yGR8hN7kd8?ext=png
25Zbxtk92esi9wU92zqkziFrzSwDkaLauJ5JqSkbhau1,5UzvgEc5X1uQqFvbsq992YXyPSgLNPMSthp5X6Dk463K,"ExiledApe 149/518",https://arweave.net/zymzPa6KrHI1jbVnXe48_6nR-ByPgqkJFcS_mDYOBzE,7395,https://www.arweave.net/8xQSCCAvgZJtW_ecFyoMuOLzGOPz_kUQwFReaUf-Y1U?ext=png
26dy98GpZjVqzaY7LSPqjvHDtriJrBUv9Zi2zTqTDQwy,9mweyhWQU3jn6WwyYYwGoe6vYjKxJPTrV4BE9upHMQX8,"ExiledApe 95/518",https://arweave.net/xH76Ttua7IKWqJajp8gpeVEbUBOpsQ5d3qrHIbRWhoE,2565,https://www.arweave.net/o2O1JLE18ipcN8P6d8FvkAL_YZAkxClkOp1OPU_PitQ?ext=png
26qqFE98F3Md2rw6aTeZTJXmKJFjGBRFHxLq7u6D1ivg,B4qrkFtkyZD9XjZCDfhMeK7oHpeRp6zgRN8NX4pQVhyC,"ExiledApe 332/518",https://arweave.net/aAaptHH31FWYsQh_nEWkzA8tf0SzVhgtf_rNxaD6bmc,4653,https://www.arweave.net/viIEKNiu1FmBxSnLF385lWNm_h0IRYq42Yi7xKZBz2E?ext=png
27VD5AJkkp3Q7UqXsMzHJ8jUAhGmCdU46RYTFhTvB8ac,3d1kdZCACBMYLL28nSVhzuyQLXQXK8j5sWLJMSqYNfze,"ExiledApe 248/518",https://arweave.net/AsMAosGTNI8niLo-aStDlwb-EoRBxcatOa6PGIPb--Q,221,https://www.arweave.net/k4cTncXykbIb3WPLLK8qh7dLM9sqWdXtvc0PrGwT1h4?ext=png
2868N5Uotih8w6EkFzCUFDPy8P1Eoy1CQAwVci7MSJgF,DxnJ3w7d5PmJkAyM8SguPKYxdngG3SUQn7unsBvSc8oD,"ExiledApe 460/518",https://arweave.net/dKqOP92IGXCHPw2Ji3zBNSbTFfVWcy6XOUbDxCZmZ40,-,https://www.arweave.net/HhkKML868wGRNVdyAnghYdzFGixo7UoW94axWVDZKC8?ext=png
29KDfJZVvDWt8TMMbepd7henJhTtbqb5fhPRPYJZ6K7B,8sTQXNVgqUAQDikQHTgtYZq99YCA3yaESTssGkuN5zjF,"ExiledApe 103/518",https://arweave.net/lwZ49_nxp-LQr4VQ7PunYlQogMuLVspAD3jvYw80ydk,5344,https://www.arweave.net/4pyT0qaSNfTolYpaW1WTlk8g-ugunhdwzUudicfNWDc?ext=png
29kQg4izNqtN1r8svkTKWnyTHrGghX5UnRSGNkUALY6h,EoTuFa64MtPWSeVjWFugfNPpbHRhWmXyth16BFfmYz73,"ExiledApe 388/518",https://arweave.net/l1F6Bw9M7E4pR2yvVundubc77zTYesUimycVy2m3IL0,6368,https://www.arweave.net/mZb21j2UH-Us4aysQASGsPmAUjFagYHi4Jm4ZXxMi-Y?ext=png
2AQjfRZkHJn9P6w99RFMUCcXwNRJPnf7t6zF9FiLdmSP,5BoyqdJpq95BZ9386VpbdVeuwV3Hp6wWjdMTDV6A6QAg,"ExiledApe 495/518",https://arweave.net/VagmN9i_A2tCsYZ_Bxiaz6pz77uzTxBuA030li7gpY8,8535,https://www.arweave.net/OYWoGOnnXB3A1oKyY5txRN6dRVFCtScGjLdF0v69A1s?ext=png
2CrNZQWY4mjyUzd3Jyc8GF9qFppwdpoWPoapw3jB3Kpk,6peNt6T4MY8qTRxGcUwBvrhSMGr5KXQdPyhFY7yEVwJ,"ExiledApe 30/518",https://arweave.net/GESAPkjP7FCTsIPARabc4bVzvIjZRXlruncNbhi-Gzs,2676,https://www.arweave.net/cwUVzSoyVhp3XKB1k83WxenZmX0eqrIhoCZRI1xx2GI?ext=png
2DUvqtWoJ5z7swrppd1zxQyUcjiz44b3z6e1xEja4q1Y,5KMsDre1gnkjHUTu9g5s9kZnhLLBDV729dQ5RKAAZAGG,"ExiledApe 284/518",https://arweave.net/6msCvvtE_n6SL4mVKpf90DtIeHsOsd9o7hKx4zwK4OI,6760,https://www.arweave.net/hQ3pJrgkuYcxbCDa3ZSlxXn6hXxTlUSUUThaMw8NsEQ?ext=png
2EyaqH46g7YBV7LcKgXd7NuL2NDVytQdWt1JC3h5Yqfe,BuemBzbjomsftqJj26iYAj61uy3AT5CBPHMAZKnYfFgc,"ExiledApe 327/518",https://arweave.net/Sg5TKOJqn8w-kETS5Il1gelzxSOQjRlWGJidzKwGYac,3273,https://www.arweave.net/cwYLQOh0H9Zh2y2jkjbLyIxUvOD1gnXzHcohWSZuzOk?ext=png
2Fyue4MG8bjiRLwV8GSFT14CVkKLJTupLS1y6ocRCEK1,6rvnGAwkqNeQ3q6doWi4JCmpZL2CzMh7rwnGVabJoEo8,"ExiledApe 401/518",https://arweave.net/eE-s4BoXF5ZW-NTa5VttZSq622O-u7vY2ICCSrjXmeg,6364,https://www.arweave.net/-CRlqYxJG0t_Kvi3S9bktpQMtPNHX4cpDKBL-SO6x5g?ext=png
