mint_address,meta_address,meta_name,meta_uri,inmate_number,image_uri,genesis_order
7g98EcUzLxvbLip4zgsshqWhLV9KMVNt5z4zSJ2UZzj2,VMX8JBFnVu6tnAxYHbctmPJ6jcoixyhvqPaeSaeVzMu,"Degen Ape #1594",https://arweave.net/vdvtO554xnwU007LECYc1WWPZYGCJ3u34IQC8PIGPVk,1594,https://arweave.net/hXSIMnTT4lVPUDlIHxuf-62pD_06IOzNpy96BNAWDYc,1
C1z2h86tws5Hd3fQDSgqrS1uFGPJ6eegrQUa5pqg4uYp,JBmnFvMd51BPaZaXqwV1CP95WnSdYJNtUDE7FBV2iFhN,"Degen Ape #8455",https://arweave.net/OkAcVe-HyxrFLhe6KkvnuWSaDkIyBQ_AI-QGTNlFmM4,8455,https://arweave.net/5rtotzms7fdNNqeqKoYAbosyGljXaFG0CYZdZtMSpiY,2
B9yzq2FpLeoMPNxHZ9LoD94uU5zfcF9m6izE6QKaxRNa,2MT54hx3X3cLk6sHjcuJPJMeuFwyuZxoReiKmxDPJGi7,"Degen Ape #2321",https://arweave.net/k18aVg47dvYcqhiIfIgNCu_LH0WnBBE_-zTw91m1gRU,2321,https://arweave.net/jWaaUwgzoB_u87ficgDBuR4SiIFdkOJCoU9ob_xCFlY,3
zo2G5Zp5QrrjV3uBSv9mP5sD2pmkNr8Kt89k8tLAVen,24udRGE8Z8pnkDGMF58uxfQZL1CYFaejjMRTTH3ooz8T,"Degen Ape #4946",https://arweave.net/oHcghz_pJ68CMS3XK2c1TmXNL7b-9MImI__gD689CGY,4946,https://arweave.net/thG4lfM8FvxAK1LQrftNonwbgnTT76GISvrGtKCMTpE,4
CvdasGfQyvhraHw7k5B3kAtak8cS1LKgjQEP7TcDwCaK,8NsZHBGZx2NgoFstJJwh4y4xynXBHSSaQJdN5FWqjZTU,"Degen Ape #1007",https://arweave.net/NKQiA5-xrTr_mwbGTP89DQsHg4HfbNH3KwROFf8QesQ,1007,https://arweave.net/2leWPCctIYjTw8PfNW7JXXD0fPICOWbX8DT0YfQJPgY,5
9eiC2MnLs91782QwyZsyHH1xaEMYNWfZRvYWJtUipqSD,4FXJ6Rub2nQ6rQ64vGJADvTYWVK8ej4RW4eZF7n9fVub,"Degen Ape #7159",https://arweave.net/Hs9kju6omZCO3HbAyJB6PNXTXv5aC3hog6NEn0TdPJo,7159,https://arweave.net/VLZbhOTLypfHzfqfX8lV-houTpwVci_-fzQZcktCFls,6
3cgifdAy3eTFZa4zJAKQgFW3m8SdxXTjb75perNAJ5wN,Fq7brzUr8CMzw4QETncsToFAjVFzWZqH16MGs2YhZfKD,"Degen Ape #5016",https://arweave.net/By4AzBUwhnNj1rJwOD_5AYd8ZYxTwsj8A2j1RJQ-U1Y,5016,https://arweave.net/Avt2GMNSojAVemNAmrWgDsmANovVOb-gnfZySCZfmyI,7
DHrzEk72jNViy6wgfVGJDrNTJYF2DCnFfJFVMskqaRbn,CrB1ehCe1hnZS7c8zoW4eQbUjJYTXJGy5pEohCCm2Vhc,"Degen Ape #5958",https://arweave.net/jSJlzDRpPsXBboMe9Pb3M3GFeN84l9403X6YIQ298iw,5958,https://arweave.net/W9ZsB8p1q1NkykFnoPCDzxaHZiQfWPCQearXybw5LPg,8
2p49FxAA21RstBUUtohT75UdRx4CiKu7HFoVvG9QJWww,5ZeTqdxzJU2gR4f6ZPp26weh2SQZ24EGu5ytb6YqguoQ,"Degen Ape #6453",https://arweave.net/pLY54rGCNPUSF8iDSQCIRWZKv0o0Owfhu9_yYCGaY6s,6453,https://arweave.net/KHL-1tjviQ0jLkA1qCzuObkrfuQeh7Rvintb6IvsE4A,9
4QHVGiPzhEPi1Knmu4BFc6JbjJZbYn5FyfmaxxMS1Jom,rqpvUgdy48uhkmy94AuJF3FnCT6LzShFTZPgu7mJx4e,"Degen Ape #2660",https://arweave.net/yjXzShWlOQWphVRYe5qJbDmmc_Ccw9fY_rdNCbfo02U,2660,https://arweave.net/l7M1L-BFKaXxexzyxzmwJtBoK-YhKbW_i1yEPXcuwWI,10
