mint_address,meta_address,meta_name,meta_uri,inmate_number,image_uri,genesis_order
CvdasGfQyvhraHw7k5B3kAtak8cS1LKgjQEP7TcDwCaK,8NsZHBGZx2NgoFstJJwh4y4xynXBHSSaQJdN5FWqjZTU,"Degen Ape #1007",https://arweave.net/NKQiA5-xrTr_mwbGTP89DQsHg4HfbNH3KwROFf8QesQ,1007,https://arweave.net/2leWPCctIYjTw8PfNW7JXXD0fPICOWbX8DT0YfQJPgY,5
5UGqBvTft1EJBVzu8ZMWxcx64W5J5sM49vYFXsBSebi4,9YVNdXo6AwCyM2uio2mZhwVj7qKRCNrqPBt8hUMcHtLa,"Degen Ape #2596",https://arweave.net/BZm0CmQbF48B2ZaXWqr-_Ufy2TUpcqRRTSMUAU0R_W8,2596,https://arweave.net/gsYQNI-Hm5UP-Rd1ZLCEjTfqrrqlsMgYor8lG36UDME,11
Bsskd7Qa1jLtSwvc3H8fks2XRrv5jX9qXh91Aa65xrY7,Gu6kHrFbZUzwctXJbKszmYFBpDsTjdFJ17iWS3oYhSA7,"Degen Ape #6304",https://arweave.net/4TyActJbFpjkXazbh_yjNjCgcI6JzVqrGhBs-FpXZc0,6304,https://arweave.net/22Kgx9fcrW23wcloBLnlTncjvVAv6rd8WRUBwJgHu80,20
HdcboAAJsM6Ud6K5Sknb8VN4bSW2DsZ45aymcYHfQLED,CPqpo1isioGJXV4bcDrkS4UmPCvDruwj7owHKbbDuYtp,"Degen Ape #5382",https://arweave.net/vDOsPdpC6lm_IXqROGkGjcq42bw3tu8Cuc7VHpWHa9M,5382,https://arweave.net/rjf8nLVNc3MC4NKjO2ysa1VjQi2LKVt1jW2BClerMYA,33
Fg8vN7yyhMxvhnFGY59ZUofE9k1XDUNM7FtqRQEiCg3c,D4ST8qt7Y8YXqWMPCQ9bGvXhZrub3vaqNiCQ31gGHwGp,"Degen Ape #9260",https://arweave.net/SieW5vElUvXxbxKaZmM-U2EpXoxSPsDj-Fav-olvd7Y,9260,https://arweave.net/WsZZmGw4Xgm-kMrUWTukpXl0rIh7uLceJBm7Nr6DKaU,36
Deva9TKrLRj8FwDcV9jLjKTn8D1AceU8MJSwjScyMZdA,92ovEcs9bXwQBYZa49EpzXhkkURpg42RGov4sgzpDEKF,"Degen Ape #9915",https://arweave.net/gEhQ8RrhUekm9UpYxZUUF3G2g9hBlRLuVBpI9CnX9pg,9915,https://arweave.net/2mK2V4mO-cmnhFGKQ907oUiM0znjLpkbyYBIcVJVv_M,38
GcC8Yaq1WCuaEDKvZR7Nsm3oSeq1TwijFLonQf5Zosxu,5784m4DAzHHdzFyT1PnYfnmCwJY9VyALSYRswLVZ5aeJ,"Degen Ape #8650",https://arweave.net/Kijygz9JJiGRWEG_PmgqSnGKUBQoAjf1fuINqC9lFxw,8650,https://arweave.net/QH2Lx3_s7bOT2jQdfjZ6wzw6pRtzWF5NvBBOS9bGuBg,39
91NTVAtbcxhVSe7UBtz9CebwPHbQuzE8tDnWbUsWkRvq,3RiJB5v594AwZaiMMa8ct74jNhyjrBEnbqtM5jK1g4BE,"","","","",40
34sSehPc3aXY1kYbL9grHBu4PppK2TVvYkCmKtetnJJt,8gTzgfWomqaaDbgV2hYeVSy1bUmAMs2i75ra1GJsqBSC,"Degen Ape #638",https://arweave.net/JKn0_48awgRCBw_LOfPLu7mb1jNQ5-wA200sDHWRIck,638,https://arweave.net/DHXV-_Kl8ewgjd8wKJ4bJKIeaaCofhlWd0sJZm9HMCI,43
Cc7SC23m25UGNo9Z5CzK18c5zsURsm7HhERuuQrpSm62,DYA9kvdkFi9m3oSTibT5bYkR2NwCrVe7Rno6N5TcUcXV,"Degen Ape #6944",https://arweave.net/JZ03LZKnd-O3STSvAtDjtGbdDNXsP3yEWcJSOpee52U,6944,https://arweave.net/ADpXICFRvPdoHyeXmYVSD4NimThOpxA-rv_s_Li6oKA,45
